video,embryo,t,t_next,shift_um,dz,dy,dx,gt_links,gt_median_shift_um,gt_dz,heldout
6bba_7d3058ae,6bba,70,71,6.4,6.4,0.1,-0.1,12,6.5,6.5,False
6bba_a5e926bb,6bba,49,50,6.4,-4.1,-0.5,-4.8,8,5.5,-3.2,False
44b6_0113de3b,44b6,46,47,6.3,3.0,-4.0,3.8,1,6.4,3.2,False
44b6_587a1e22,44b6,21,22,6.3,-0.7,0.1,-6.2,3,6.7,-1.6,False
6bba_0c7fa718,6bba,77,78,6.3,1.6,-3.4,-5.0,8,5.3,1.6,False
6bba_3db54e20,6bba,78,79,6.3,-0.4,6.2,1.3,9,7.8,-3.2,False
6bba_6479435d,6bba,64,65,6.3,-6.3,-0.0,0.0,2,2.6,-2.4,False
6bba_a5e926bb,6bba,48,49,6.3,-3.1,0.1,-5.5,8,6.4,-3.2,False
6bba_afb141ff,6bba,16,17,6.3,-6.3,0.5,-0.2,4,5.1,-4.9,True
6bba_b693381b,6bba,4,5,6.3,0.0,-1.6,-6.1,11,6.3,0.0,False
6bba_fe670320,6bba,12,13,6.3,-0.1,4.8,4.1,13,6.9,0.0,False
44b6_0113de3b,44b6,15,16,6.2,-3.6,-1.3,4.9,0,,,False
6bba_0c7fa718,6bba,17,18,6.2,0.6,-3.4,-5.2,12,6.5,1.6,False
6bba_0c7fa718,6bba,29,30,6.2,0.5,-1.4,-6.0,0,,,False
6bba_09961292,6bba,93,94,6.2,6.2,0.2,-0.0,11,6.6,6.5,False
6bba_283bf9f1,6bba,91,92,6.2,-3.9,0.4,-4.8,16,5.4,-3.2,True
6bba_337b1b3a,6bba,8,9,6.2,0.3,5.4,3.0,0,,,False
6bba_3db54e20,6bba,64,65,6.2,-0.2,6.2,0.3,2,5.3,-1.6,False
6bba_5f89039d,6bba,56,57,6.2,-6.2,-0.3,-0.4,10,5.2,-4.9,False
6bba_67ebd073,6bba,31,32,6.2,-6.2,0.2,0.0,4,6.5,-6.5,False
6bba_789f8168,6bba,32,33,6.2,0.0,-1.5,-6.0,7,5.8,0.0,False
6bba_7d3058ae,6bba,69,70,6.2,-6.2,0.3,0.2,11,6.7,-6.5,False
6bba_b693381b,6bba,35,36,6.2,0.2,-3.0,-5.4,14,5.9,0.0,False
6bba_d3da753b,6bba,23,24,6.2,-3.1,-0.2,-5.3,9,6.6,-3.2,False
6bba_ed9377fd,6bba,0,1,6.2,6.2,-0.1,-0.3,6,5.8,5.7,False
6bba_f20478e9,6bba,68,69,6.2,-0.2,-6.2,-0.1,8,6.9,0.0,False
44b6_c15fded2,44b6,24,25,6.1,-0.1,-6.0,-1.3,2,6.7,0.0,False
44b6_c8e2a523,44b6,1,2,6.1,1.4,-4.8,3.5,3,6.8,0.0,False
44b6_e29f0176,44b6,35,36,6.1,0.3,-5.7,2.1,1,4.8,0.0,False
6bba_05db0fb1,6bba,93,94,6.1,6.1,0.2,-0.1,9,6.5,6.5,False
6bba_67ebd073,6bba,48,49,6.1,-6.1,-0.0,-0.2,6,6.6,-6.5,False
6bba_786893ac,6bba,74,75,6.1,6.1,-0.1,0.2,8,4.9,4.9,False
6bba_7f87b3d8,6bba,29,30,6.1,-3.1,-1.5,-5.1,17,5.5,-3.2,False
6bba_971fa5e0,6bba,42,43,6.1,-5.0,3.3,-0.5,5,5.9,-4.9,False
6bba_d3da753b,6bba,27,28,6.1,-0.4,-0.3,-6.1,7,8.4,-3.2,False
6bba_e5e44988,6bba,61,62,6.1,0.0,6.1,-0.4,7,4.6,0.0,False
6bba_f20478e9,6bba,51,52,6.1,-0.0,-6.1,-0.3,6,7.4,0.0,False
6bba_fe670320,6bba,49,50,6.1,3.7,4.8,-0.1,4,6.7,4.1,False
44b6_0db75fae,44b6,17,18,6.0,-0.3,6.0,-0.1,1,5.5,-1.6,False
44b6_e29f0176,44b6,28,29,6.0,0.2,4.8,-3.6,0,,,False
6bba_0c7fa718,6bba,22,23,6.0,0.9,-2.6,-5.3,5,5.9,1.6,False
6bba_0e7c0d07,6bba,86,87,6.0,-0.2,3.5,4.9,0,,,False
6bba_337b1b3a,6bba,9,10,6.0,-0.2,4.9,3.3,0,,,False
6bba_6db0e9b4,6bba,1,2,6.0,-3.2,4.9,1.3,0,,,False
6bba_7d3058ae,6bba,16,17,6.0,6.0,-0.1,-0.4,12,4.9,4.9,False
6bba_ae82a791,6bba,92,93,6.0,6.0,0.1,-0.2,13,6.5,6.5,False
6bba_d5eae175,6bba,70,71,6.0,6.0,-0.2,0.1,7,6.5,6.5,False
6bba_e5e44988,6bba,24,25,6.0,-0.3,6.0,-0.2,6,8.1,-2.4,False
44b6_267148e4,44b6,30,31,5.9,-0.6,-2.9,-5.1,3,8.0,-4.9,False
44b6_3a861e03,44b6,6,7,5.9,-4.3,-1.1,3.9,7,5.3,-3.2,False
6bba_062c8d37,6bba,16,17,5.9,3.3,-1.5,-4.7,9,3.4,1.6,False
6bba_0c7fa718,6bba,33,34,5.9,0.5,-1.5,-5.7,0,,,False
6bba_15403b9a,6bba,12,13,5.9,-1.4,0.3,-5.7,10,6.3,-1.6,False
6bba_7f87b3d8,6bba,6,7,5.9,-2.8,-1.8,-4.9,9,5.4,-1.6,False
6bba_825bd1c6,6bba,48,49,5.9,0.0,5.9,0.2,12,4.6,0.0,False
6bba_9a41d029,6bba,41,42,5.9,5.9,-0.3,0.4,13,6.6,6.5,False
6bba_b693381b,6bba,6,7,5.9,0.5,-2.6,-5.3,12,6.1,1.6,False
44b6_33b596bf,44b6,16,17,5.8,0.3,5.2,2.5,0,,,False
6bba_0c7fa718,6bba,35,36,5.8,0.4,-1.5,-5.6,1,5.7,0.0,False
6bba_767a1e17,6bba,6,7,5.8,0.2,0.2,5.8,0,,,False
6bba_74686d6a,6bba,35,36,5.8,5.8,0.0,0.1,8,6.5,6.5,False
6bba_b693381b,6bba,11,12,5.8,0.4,-2.7,-5.1,14,5.9,1.6,False
6bba_cdcfe533,6bba,92,93,5.8,3.3,-3.5,-3.4,23,6.1,3.2,False
6bba_fe670320,6bba,48,49,5.8,-4.9,3.0,0.1,6,5.7,-4.9,False
44b6_0db75fae,44b6,20,21,5.7,0.0,5.7,-0.8,1,4.8,1.6,False
44b6_95029e92,44b6,19,20,5.7,-0.5,5.0,-2.7,2,6.1,-2.4,False
44b6_a21120c2,44b6,44,45,5.7,-0.2,2.7,5.0,2,4.9,0.8,False
44b6_d29c9ab2,44b6,18,19,5.7,-4.7,-0.4,3.1,12,5.7,-4.9,False
44b6_e29f0176,44b6,6,7,5.7,2.9,3.3,-3.5,0,,,False
6bba_67ebd073,6bba,10,11,5.7,-5.7,-0.0,-0.1,2,4.9,-4.9,False
6bba_789f8168,6bba,30,31,5.7,0.4,-2.6,-5.1,12,5.7,1.6,False
6bba_a5e926bb,6bba,18,19,5.7,-4.1,0.2,-4.0,6,5.4,-3.2,False
6bba_b1ae37b9,6bba,44,45,5.7,5.7,0.3,-0.1,5,3.3,3.2,False
6bba_b693381b,6bba,43,44,5.7,0.2,-3.1,-4.8,12,4.9,1.6,False
6bba_cdcfe533,6bba,0,1,5.7,-0.3,5.5,1.1,0,,,False
6bba_f1fde7e0,6bba,8,9,5.7,-0.6,-1.7,-5.4,3,5.0,-1.6,False
44b6_d754aa59,44b6,17,18,5.6,-0.2,-5.1,-2.3,0,,,True
44b6_d754aa59,44b6,21,22,5.6,-0.0,5.5,-0.9,1,5.7,0.0,True
44b6_d754aa59,44b6,43,44,5.6,-0.1,5.6,0.1,1,6.5,0.0,True
6bba_337b1b3a,6bba,7,8,5.6,-0.4,4.7,3.0,0,,,False
6bba_5f89039d,6bba,57,58,5.6,5.6,0.1,-0.5,10,6.8,6.5,False
6bba_76db78c1,6bba,52,53,5.6,-5.6,-0.3,-0.1,5,4.9,-4.9,False
6bba_7f87b3d8,6bba,17,18,5.6,-2.9,-1.3,-4.6,2,5.1,-1.6,False
6bba_7f87b3d8,6bba,60,61,5.6,-2.9,-4.8,-0.3,12,5.5,-3.2,False
6bba_b329af44,6bba,45,46,5.6,5.5,0.4,0.1,13,4.9,4.9,False
6bba_e5e44988,6bba,72,73,5.6,-0.3,5.6,-0.2,5,6.2,-3.2,False
44b6_267148e4,44b6,51,52,5.5,-0.3,2.1,5.1,3,6.0,-1.6,False
44b6_d754aa59,44b6,83,84,5.5,-0.2,5.1,-2.1,0,,,True
6bba_0c7fa718,6bba,23,24,5.5,0.5,-1.4,-5.4,4,5.7,1.6,False
6bba_1ebfb80d,6bba,29,30,5.5,0.1,5.5,-0.5,6,4.9,0.8,False
6bba_337b1b3a,6bba,10,11,5.5,-0.2,4.9,2.6,0,,,False
6bba_5a4d9360,6bba,27,28,5.5,0.3,3.7,-4.1,7,5.5,1.6,False
6bba_76db78c1,6bba,53,54,5.5,5.5,-0.2,-0.1,5,4.9,4.9,False
6bba_789f8168,6bba,37,38,5.5,0.1,-1.4,-5.3,7,5.9,0.0,False
6bba_7f87b3d8,6bba,9,10,5.5,-2.5,-0.6,-4.8,5,5.9,-1.6,False
6bba_acd782a8,6bba,96,97,5.5,0.3,1.2,-5.3,12,7.0,3.2,False
6bba_bb9f20c3,6bba,79,80,5.5,5.5,0.4,-0.0,17,4.9,4.9,False
6bba_cdcfe533,6bba,1,2,5.5,-0.3,5.4,1.0,0,,,False
6bba_d3da753b,6bba,56,57,5.5,-3.0,0.2,-4.6,11,5.6,-3.2,False
6bba_0c7fa718,6bba,27,28,5.4,0.3,-0.7,-5.4,1,4.8,1.6,False
6bba_48816121,6bba,95,96,5.4,-0.2,0.1,-5.4,9,6.4,-1.6,False
6bba_4f99ce20,6bba,37,38,5.4,0.3,-4.3,-3.3,6,6.1,0.0,False
6bba_5a4d9360,6bba,3,4,5.4,-0.3,2.0,-5.0,4,4.2,-1.6,False
6bba_6ca87370,6bba,51,52,5.4,0.1,5.3,-0.7,10,5.1,1.6,False
6bba_767a1e17,6bba,18,19,5.4,0.3,0.5,5.3,0,,,False
6bba_767a1e17,6bba,67,68,5.4,0.4,3.2,4.3,3,5.6,3.2,False
6bba_9a41d029,6bba,95,96,5.4,5.4,0.4,-0.2,11,5.0,4.9,False
6bba_af149c94,6bba,62,63,5.4,5.4,0.2,-0.3,14,4.9,4.9,False
6bba_cdcfe533,6bba,5,6,5.4,-0.4,5.3,0.3,0,,,False
6bba_d3da753b,6bba,63,64,5.4,-2.8,0.0,-4.6,11,4.8,-1.6,False
6bba_debd7bfa,6bba,48,49,5.4,-2.9,-0.3,-4.6,6,5.6,-3.2,False
6bba_eebc57a5,6bba,3,4,5.4,-5.4,0.3,0.1,11,6.7,-6.5,False
6bba_f1fde7e0,6bba,9,10,5.4,-1.4,-1.3,-5.1,3,6.2,0.0,False
6bba_f20478e9,6bba,40,41,5.4,-0.2,-5.4,-0.3,12,5.8,-1.6,False
44b6_267148e4,44b6,43,44,5.3,-0.1,-5.1,-1.0,3,5.6,-1.6,False
6bba_05db0fb1,6bba,39,40,5.3,5.1,-0.4,1.2,9,5.1,4.9,False
6bba_337b1b3a,6bba,1,2,5.3,-0.5,4.7,2.4,0,,,False
6bba_6479435d,6bba,69,70,5.3,-5.3,-0.0,0.0,1,3.5,-3.2,False
6bba_78a7bd97,6bba,62,63,5.3,0.1,5.3,0.3,7,5.3,1.6,False
6bba_ae82a791,6bba,38,39,5.3,5.3,0.1,-0.3,17,4.9,4.9,False
6bba_b329af44,6bba,2,3,5.3,-0.0,-0.2,5.3,16,3.7,0.0,False
6bba_c328f2fd,6bba,1,2,5.3,-0.0,-5.3,-0.2,0,,,True
6bba_cdcfe533,6bba,91,92,5.3,3.0,-3.6,-2.5,24,5.7,3.2,False
6bba_f1fde7e0,6bba,15,16,5.3,-0.6,-1.9,-4.9,1,5.8,-1.6,False
6bba_f1fde7e0,6bba,19,20,5.3,-1.3,-1.0,-5.0,2,6.7,-1.6,False
6bba_f20478e9,6bba,41,42,5.3,-0.1,-5.2,-0.3,12,6.1,-1.6,False
44b6_587a1e22,44b6,56,57,5.2,-0.2,5.2,-0.3,6,5.6,-0.8,False
44b6_e29f0176,44b6,24,25,5.2,0.5,4.0,-3.4,0,,,False
44b6_e57ff5c6,44b6,1,2,5.2,-0.0,5.1,1.1,1,5.8,0.0,True
44b6_e57ff5c6,44b6,3,4,5.2,-0.1,5.2,0.1,1,4.9,0.0,True
44b6_eb2880fc,44b6,1,2,5.2,-2.8,0.6,-4.3,4,5.1,-3.2,False
6bba_0c7fa718,6bba,31,32,5.2,0.1,-0.6,-5.2,0,,,False
6bba_09961292,6bba,92,93,5.2,-5.1,0.6,-0.0,11,6.6,-6.5,False
6bba_268e1230,6bba,36,37,5.2,-0.0,4.1,-3.2,7,5.2,-1.6,True
